id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,endpointcategory_s,guidance_s,loValue_d,unit_s,textValue_s
NWKI-6d5e4602-408e-4a32-b67c-41d68854ce45/19600,NWKI-823e6217-d5b0-3c61-b886-768cfe726d38,NWKI-6d5e4602-408e-4a32-b67c-41d68854ce45,Cho2012 NM2,Al2O3 Al2O3NP,ENM_9000005,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,6.3,nm,
NWKI-ca64a1d8-fdb4-4ae6-a65a-5c930e8d3dd9/19608,NWKI-0a6e319e-71fc-37f7-b88d-fbda2e07ccc1,NWKI-ca64a1d8-fdb4-4ae6-a65a-5c930e8d3dd9,Field2011 Batch2,HfO2 Batch 2,NPO_HfO2,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,283.0,nm,
NWKI-37571e3f-980c-42db-bbea-dd512cc56dfb/19617,NWKI-9b508140-9a21-3fb2-b2a3-c7a11f6cc347,NWKI-37571e3f-980c-42db-bbea-dd512cc56dfb,Chithrani Au2,Au Au S30,NPO_401,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,30.0,nm,
NWKI-14dea2ae-15a5-4a7f-be59-7d98726e05ca/19620,NWKI-8cd70c1c-17a4-3aec-8b1d-fb02c67866c8,NWKI-14dea2ae-15a5-4a7f-be59-7d98726e05ca,JRCNM02002a,SiO2 JRCNM02002a,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,15.0,nm,
NWKI-54b0112f-c367-4b46-9d7e-e74b1e2163c8/19619,NWKI-8cd70c1c-17a4-3aec-8b1d-fb02c67866c8,NWKI-54b0112f-c367-4b46-9d7e-e74b1e2163c8,JRCNM02002a,SiO2 JRCNM02002a,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,15.0,nm,
NWKI-0b0c92fc-4e2d-4c28-81a9-5659f3385e67/19622,NWKI-b28c0a45-e09d-35c6-b78c-359e174aad58,NWKI-0b0c92fc-4e2d-4c28-81a9-5659f3385e67,Tilton2014 M1,MWCNT,NPO_354,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,858.0,nm,
NWKI-784a5795-28eb-49b9-af1b-232b4b57842d/19625,NWKI-b28c0a45-e09d-35c6-b78c-359e174aad58,NWKI-784a5795-28eb-49b9-af1b-232b4b57842d,Tilton2014 M1,MWCNT,NPO_354,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,458.0,nm,
NWKI-dcd318b3-a1c7-4fad-a7ae-12f6a6ace6c3/19623,NWKI-b28c0a45-e09d-35c6-b78c-359e174aad58,NWKI-dcd318b3-a1c7-4fad-a7ae-12f6a6ace6c3,Tilton2014 M1,MWCNT,NPO_354,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,375.0,nm,
NWKI-ff534ad2-10ca-469d-a77b-0170e8dab791/19624,NWKI-b28c0a45-e09d-35c6-b78c-359e174aad58,NWKI-ff534ad2-10ca-469d-a77b-0170e8dab791,Tilton2014 M1,MWCNT,NPO_354,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,342.0,nm,
NWKI-9da3251b-1790-4c95-891b-38432223e245/19633,NWKI-ada731e2-5e80-3cea-8a28-42e124bc110b,NWKI-9da3251b-1790-4c95-891b-38432223e245,JRCNM02001a,SiO2 JRCNM02001a,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,17.0,nm,
